Ind,Pop,Color,Longitude,Latitude
C3984,31,darkmagenta,-66.008133,46.5847
C3985,31,darkmagenta,-66.169433,46.54515
C3986,31,darkmagenta,-66.21698,46.52758
C4231,31,darkmagenta,-66.00969,46.58398
C4344,31,darkmagenta,-66.21698,46.52758
C4347,31,darkmagenta,-66.21658,46.52859
C4352,31,darkmagenta,-66.00819,46.58468
C4354,31,darkmagenta,-66.00822,46.58441
C4355,31,darkmagenta,-66.02469,46.5824
C4356,31,darkmagenta,-66.02299,46.58255
C4357,31,darkmagenta,-66.01537,46.58029
C4358,31,darkmagenta,-66.17027,46.54533
C4419,31,darkmagenta,-65.89082,46.60552
C4420,31,darkmagenta,-65.89097,46.60581
C4421,31,darkmagenta,-65.89088,46.60587
C4422,31,darkmagenta,-65.89094,46.6059
C4423,31,darkmagenta,-65.89078,46.60608
C4424,31,darkmagenta,-65.9077,46.60605
C4425,31,darkmagenta,-65.89091,46.60648
C4426,31,darkmagenta,-65.89056,46.60745
C4428,31,darkmagenta,-65.89034,46.60792
C4429,31,darkmagenta,-65.8899,46.60793
C4431,31,darkmagenta,-65.88992,46.60815
C4432,31,darkmagenta,-65.89039,46.6082
C4433,31,darkmagenta,-65.89034,46.60836
C4434,31,darkmagenta,-65.87818,46.61801
C4436,31,darkmagenta,-66.16756,46.54517
C4437,31,darkmagenta,-66.16759,46.5453
C4438,31,darkmagenta,-66.16782,46.54521
C4439,31,darkmagenta,-66.16803,46.54504
C4443,31,darkmagenta,-66.16879,46.54493
C4444,31,darkmagenta,-66.16939,46.54502
C4445,31,darkmagenta,-66.16948,46.54495
C4446,31,darkmagenta,-66.16959,46.54527
C4447,31,darkmagenta,-66.17075,46.54532
C4449,31,darkmagenta,-66.17049,46.5454
C4450,31,darkmagenta,-66.16978,46.54542
C4451,31,darkmagenta,-66.16739,46.54615
C4531,31,darkmagenta,-65.88141,46.61545
C1615,31,darkmagenta,-66.0242642,46.5798023
C1616,31,darkmagenta,-66.0255204,46.5806991
C1617,31,darkmagenta,-66.0260272,46.5797852
C1618,31,darkmagenta,-66.0260447,46.5801817
C1619,31,darkmagenta,-66.0257488,46.580579
C1620,31,darkmagenta,-66.0252398,46.5808178
C1621,31,darkmagenta,-66.0239152,46.5811703
C1622,31,darkmagenta,-66.0237514,46.581301
C1623,31,darkmagenta,-66.0232172,46.5815211
C1624,31,darkmagenta,-66.0248052,46.5808874
C1625,31,darkmagenta,-66.0246294,46.5809999
C1626,31,darkmagenta,-66.0256805,46.5813512
C1627,31,darkmagenta,-66.0259166,46.5813304
C1628,31,darkmagenta,-66.0260946,46.581416
C1632,31,darkmagenta,-66.0264886,46.5818493
C1633,31,darkmagenta,-66.026569,46.5820493
C1634,31,darkmagenta,-66.0265789,46.5823466
C1635,31,darkmagenta,-66.0265444,46.5824987
C1636,31,darkmagenta,-66.026482,46.5826861
C1637,31,darkmagenta,-66.0266531,46.5828975
C1638,31,darkmagenta,-66.0266448,46.5830503
C1639,31,darkmagenta,-66.0264183,46.5831344
C1640,31,darkmagenta,-66.026765,46.5829995
C1641,31,darkmagenta,-66.026902,46.58312
C1642,31,darkmagenta,-66.0266996,46.5827638
C1643,31,darkmagenta,-66.0267321,46.5826476
C1644,31,darkmagenta,-66.0266898,46.5824665
C1645,31,darkmagenta,-66.0268892,46.5823997
C1646,31,darkmagenta,-66.0267773,46.5822978
C1647,31,darkmagenta,-66.026916,46.5821484
C1648,31,darkmagenta,-66.0269018,46.581932
C1649,31,darkmagenta,-66.026855,46.5818318
C1650,31,darkmagenta,-66.0268213,46.5817319
C1651,31,darkmagenta,-66.0267483,46.581397
C1652,31,darkmagenta,-66.0267021,46.5812878
C1653,31,darkmagenta,-66.0265491,46.5812208
C1654,31,darkmagenta,-66.0263974,46.5813699
C3202,31,darkmagenta,-66.22345,46.52545
C3248,31,darkmagenta,-66.22122,46.52693
C3281,31,darkmagenta,-66.22003,46.52723
C3304,31,darkmagenta,-66.22307,46.52577
C3326,31,darkmagenta,-66.22222,46.52655
C3332,31,darkmagenta,-66.22435,46.52513
C3333,31,darkmagenta,-66.21975,46.52648
C3339,31,darkmagenta,-66.221,46.52593
C3346,31,darkmagenta,-66.21865,46.52722
C3349,31,darkmagenta,-66.221,46.52723
C3367,31,darkmagenta,-66.21833,46.52697
C3374,31,darkmagenta,-66.22652,46.5248
